00:11:20:769 [ALWAYS]	GUDE Logging Started
00:11:20:770 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:11:20:770 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:11:20:770 [ERROR]	Initialize resume cache pointer failure
00:11:20:770 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
00:11:20:770 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
00:11:29:583 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
00:11:29:584 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:11:29:584 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:11:29:584 [ERROR]	Initialize resume cache pointer failure
00:11:29:584 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
00:11:29:584 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
